nome,categoria,sinopse,preco
COMO CONVENCER ALGUÉM EM 90 SEGUNDOS,Negociação,"Como convencer alguém em 90 segundos é a garantia de uma comunicação de sucesso, transformando as conexões instantâneas em duradouras e produtivas relações de negócios. Neste livro, o especialista Nicholas Boothman ensina como usar o rosto, o corpo, a atitude e a voz para causar uma primeira impressão marcante, estabelecendo confiança imediata e criando fortes vínculos de credibilidade.","R$ 49,90"
DESCUBRA SEUS PONTOS FORTES 2.0,Desenvolvimento Profissional,"Seus talentos merecem ser descobertos e desenvolvidos
                
                
                    
                        Descubra seus pontos fortes 2.0 é uma nova e aprimorada versão do livro Descubra seus pontos fortes, que já ajudou mais de 6 milhões de pessoas a descobrir seus principais talentos.
                
                “Tom Rath e seus colegas do Gallup se destacam pela inabalável crença de que as pessoas devem se concentrar em tirar o máximo proveito de seus pontos fortes, e não em ficar tentando consertar os próprios defeitos.” — Forbes
                
                “Este livro traz lições importantes para empreendedores e gestores que desejam entender os pontos fortes de sua equipe e convertê-los em benefícios à organização.” — The Economic Times
                
                
                    
                
                VOCÊ TEM A OPORTUNIDADE DE FAZER TODOS OS DIASO SEU MELHOR? É PROVÁVEL QUE NÃO.MAS ESSE É O CAMINHO MAIS CURTO PARA O SUCESSO.
                Em vez de trabalhar ativamente para aprimorar o que temos de melhor, devotamos tempo e esforço para consertar nosso desempenho nas áreas em que não nos saímos muito bem. Não existe receita mais certeira para a frustração e a mediocridade do que passar a vida nos dedicando ao que fazemos de pior.
                Para mudar essa cultura, Donald O. Clifton se baseou em pesquisas do Instituto Gallup com mais de 2 milhões de pessoas e criou o teste CliftonStrengths – Descubra seus pontos fortes, uma ferramenta para você se conhecer melhor e desenvolver suas maiores habilidades.
                Na versão atualizada desse programa, você vai descobrir seus cinco maiores talentos entre os 34 temas apresentados no livro e aprender como o desenvolvimento dos pontos fortes pode contribuir para o crescimento de todos à sua volta.
                O foco em suas aptidões é fundamental para uma vida com mais propósito, produtividade e bem-estar. Com este guia de referência e o teste Descubra seus pontos fortes 2.0, você vai ter acesso a:
                • Seus cinco principais pontos fortes.
                • Ideias para ação, com exemplos e dicas exclusivas de como colocar seus maiores talentos em prática.
                • Um relatório personalizado sobre o que faz você se destacar pessoal e profissionalmente.","R$ 109,89"
O DIÁRIO DE UM CEO,Empreendedorismo,"“Leis práticas para guiar e desafiar você num mundo competitivo.” – 
                    Robert Greene
                    , autor de 
                    
                        As 48 leis do poder
                    
                
                
                
                
                Este não é um livro de estratégias de negócios. Estratégias mudam de um ano para outro. Este livro é sobre algo permanente.
                
                Na essência de todo sucesso e fracasso que testemunhei, há algumas regras que sobrevivem ao teste do tempo, aplicam-se a qualquer setor econômico e podem ser utilizadas por qualquer pessoa que queira construir algo grandioso ou se tornar alguém excepcional.
                
                São as leis fundamentais que vão fazer você alcançar a excelência.
                
                Esses princípios se baseiam na psicologia, na ciência comportamental e na sabedoria de milhares de pessoas que entrevistei, muitas delas extremamente bem-sucedidas.
                
                Essas leis vão funcionar agora e daqui a 100 anos.
                
                Vamos começar?","R$ 59,90"
ALCANÇANDO EXCELÊNCIA EM VENDAS - SPIN SELLING,Vendas,"Neste livro, o autor explica com inteligência e autoridade por que os métodos tradicionais de vendas desenvolvidos para vendas simples ao consumidor não funcionam para vendas grandes. Ele mostra como os métodos convencionais de vendas estão fadados a fracassar em vendas grandes. Mas, o mais importante de tudo, ele desenvolve com extrema clareza a imensamente bem-sucedida estratégia SPIN Selling®.","R$ 89,00"
NEGOCIE COMO SE SUA VIDA DEPENDESSE DISSO,Desenvolvimento Pessoal,"MAIS DE 700 MIL LIVROS VENDIDOS NO MUNDO.
                
                
                    Um ex-agente do FBI revela as técnicas da agência para convencer as pessoas
                
                
                    ","R$ 65,89"
ROUBE COMO UM ARTISTA,Marketing,"Coleção Pitch Deck. Plataforma para jovens negócios.
Verdadeiro manifesto ilustrado de como ser criativo na era digital, Roube como um artista, do designer e escritor Austin Kleon, ganhou a lista dos mais vendidos do The New York Times e figurou no ranking de 2012 da rede Amazon ao mostrar – com bom humor, ousadia e simplicidade – que não é preciso ser um gênio para ser criativo, basta ser autêntico. Baseado numa palestra feita pelo autor na Universidade do Estado de Nova York que em pouco tempo se viralizou na internet, Roube como um artista coloca os leitores em contato direto com seu lado criativo e artístico e é um verdadeiro manual para o sucesso no século XXI.
Nesta obra, Austin mostra através de mensagens positivas um olhar gráfico diferenciado, ilustrações, exercícios e exemplos de como o leitor pode “ativar” seu lado criativo. Austin Kleon, corajosamente, desfila novas verdades sobre criatividade: nada é original, então abrace as influências, colete ideias, misture e reimagine para achar seu próprio caminho. Se gosta de um artista, copie-o, e copie as referências deste artista, descubra de quem ele gosta, quem ele copia, quem é a sua influência, e tome tudo isto para si. Seja este artista, até a hora que vai sentir que não está mais copiando e sim criando sua própria versão. Mas para chegar neste ponto é preciso que fique esperto, tenha uma rotina, um emprego fixo que lhe dê dinheiro e que lhe traga suporte para ser “selvagem” e ousado dentro de sua imaginação. 
O mais importante para os leitores é que Roube como um artista é focado na praticidade. Kleon quer transformar, mudar, fazer o leitor descobrir e ativar sua própria criatividade, e espera conseguir isto com todas as dicas e macetes que cita no livro. Roube como um artista é uma obra curta e intensa, um tiro certeiro para despertar aquele lado criativo que dorme dentro de todos os leitores.","R$ 54,89"
A ARTE DA SABEDORIA,Livraria Cultura,"“Absolutamente único...um livro feito para uso constante - um companheiro para a vida.”
Arthur Schopenhauer

Grandes sábios e ilustres líderes buscaram conhecimento na obra mais clássica de Baltasar Gracián. Escritos há mais de 300 anos, os aforismas criados pelo autor permanecem atuais e são imprescindíveis para alcançar, em qualquer aspecto da vida, o sucesso.
Alguns dos conselhos de Baltasar Gracián:
Dê valor para tudo, não importa quem lhe ensine.
Diferencie o homem de poucas palavras daqueles que falam muito.
É bom saber fazer amigos e conquistar as pessoas. Um amigo é um segundo eu. Todo amigo, para ser seu amigo, deve ser bom e sábio.
Faça como o camaleão: comporte- se segundo a ocasião. As decisões que tomar ao governar devem depender de cada caso em particular.
Saiba abster-se. É uma grande virtude da vida saber negar- -se aos demais. Maior tesouro ainda é saber negar-se a si mesmo, tanto em assuntos pessoais como nos negócios.","R$ 39,90"
MALDITA GUERRA (NOVA EDIÇÃO),História Mundial,"Com sólida base metodológica e documental, Doratioto analisa as origens e a dinâmica militar da Guerra do Paraguai e descobre ou recupera informações surpreendentes sobre os cinco anos de luta. Este vasto trabalho é acrescido, nesta terceira edição, de novas pesquisas e estudos recentes proporcionados pelo avanço historiográfico.
                  Escrito em linguagem clara e objetiva, este livro é fruto de mais de quinze anos de pesquisas em arquivos e bibliotecas do Brasil, do Rio da Prata e da Europa. Francisco Doratioto, graduado em história pela USP e doutor em história das relações internacionais pela Universidade de Brasília, viveu durante três anos no Paraguai, o que lhe permitiu visitar locais e conhecer a memória oral ainda existente sobre a guerra. A utilização de fontes tão diversificadas resultou em descobertas surpreendentes e na recuperação de informações publicadas no final do século XIX e começo do XX. Doratioto explica o início do conflito através do processo histórico regional, rejeitando a interpretação de que o imperialismo inglês seria o responsável pelo desencadear da luta. O autor relata o duro cotidiano das tropas aliadas e paraguaias, mostrando toda a dinâmica da guerra e reavaliando a atuação de chefes militares como Mitre, Tamandaré e Caxias. As principais batalhas são contextualizadas de forma didática em 23 mapas, enquanto personagens e situações encontram-se representados num interessante conjunto de ilustrações e fotografias. Outro aspecto investigado é o contexto internacional do conflito: a simpatia da opinião pública pelo lado paraguaio, a neutralidade das potências europeias e a postura favorável ao Paraguai por parte dos Estados Unidos e países sul-americanos. A Guerra do Paraguai foi um marco na história dos países envolvidos. No caso do Brasil, sorveu recursos humanos e financeiros de que a economia brasileira carecia para sua expansão. Com sólida base documental e metodológica, Maldita guerra desfaz mitos antigos e recentes sobre o conflito, constituindo-se em obra de referência sobre o tema.","R$ 139,90"
ISRAEL X PALESTINA,História Mundial,"“O livro de Gelvin, com mapas, ilustrações, glossário, biografias resumidas e uma lista enxuta e bem selecionada de leituras complementares, preenche os requisitos de um livro acadêmico da melhor forma possível. […] Equilibrada, justa, e de leitura fácil, esta obra é uma refinada síntese histórica.” 
                

                    
                        – L. Carl Brown, Relações Exteriores –
                    
                

                    “Não há dúvida de que este livro representa uma concisa […] e inteligente pesquisa sobre o desenvolvimento histórico do conflito Israel x Palestina.” 
                

                    
                        – Nigel J. Ashton, O registro da história dos Impérios e das Nações –
                    
                

                    “Qualquer pessoa que busque uma pesquisa clara, rica e justa sobre a questão palestina vai se beneficiar com a leitura deste livro, e até mesmo especialistas que acreditavam que não havia mais nada que pudesse ser dito acerca desse tema […]”. 
                

                    – Zachary Lockman, Universidade de Nova Iorque – 

                    “Gelvin elucida as tendências gerais desse conflito centenário, tornando-as inteligíveis por meio de exemplos perspicazes e citações apropriadas… Em resumo, Israel x Palestina […] é um estudo acessível e compreensível, do qual estudantes e público em geral podem se beneficiar. […]” 
                

                    
                        – Jornal de Estudos Palestinos –
                     

                    “O espirituoso e deliberadamente equilibrado relato de James Gelvin sobre dois nacionalismos, um sionista e um palestino, representa uma união harmônica entre iconoclastia e contextualização.”
                

                    
                        – George R. Wilkes, Jornal de Estudos Judaicos –
                    
                
Esta premiada obra de James L. Gelvin narra o intenso conflito gerado pela disputa histórico-religiosa pelo território da chamada “
                        Terra Santa
                    ”, que perdura há mais de um século, produzindo uma tensão constante entre israelenses e palestinos.
Descreve os esforços e as lutas de nacionalismo vivenciadas pelos judeus na Europa e pelos habitantes árabes da Palestina Otomana, e aborda as pressões externas e as lógicas internas propulsoras do conflito.
James L. Gelvin entrelaça de maneira habilidosa rascunhos biográficos, relatos de testemunhos, poesia, ficção e documentos oficiais para posicionar os eventos da Palestina dentro do contexto da história global.
Já em sua 3ª edição pela Cambridge, foi revisada com o objetivo de incluir os efeitos da 
                        Primavera Árabe (2010-2011)
                     sobre o conflito e o reconhecimento da Palestina como um “estado observador não membro” pelas Nações Unidas.
Uma abordagem atual sobre o complexo tema permanentemente em discussão por lideranças e organizações mundiais, políticas e religiosas, estudiosos e todos aqueles interessados nos rumos da sociedade mundial.","R$ 87,90"
QUANDO DEUS ERA MULHER,História,"Com apresentação de Marcela Ceribelli e inédito no Brasil, Quando Deus era mulher nos conta a história do antigo culto à Grande Deusa e como o rito às deidades femininas foi suprimido ao longo dos séculos.

                
Antes de publicar este livro, em 1976, Merlin Stone passou quase uma década pesquisando as
deusas na Antiguidade, período em que a vida social, política, econômica e cultural de muitos
povos girava em torno da mulher. E como a religião tende a espelhar a figura dominante na
sociedade que a pratica, a deidade feminina foi representada diversas vezes por esculturas e
pinturas encontradas até hoje em vários sítios arqueológicos.
                
Chamada por diferentes nomes, a Deusa contava com suas sacerdotisas que lideravam e
guerreavam, eram poligâmicas e detinham o conhecimento sobre tratamentos medicinais
naturais. No decorrer dos séculos, porém, novos grupos hegemônicos passaram a ver essas
mulheres como prostitutas e bruxas, seus feitos foram reduzidos a lendas e a cultura da
divindade feminina foi sufocada.
                
Quando Deus era mulher afirma que, apesar de a cultura matriarcal e matrilinear ter ruído, ela
não só perdura como se impõe ao patriarcado e resiste a ele, mostrando-se mais atual do que
nunca.","R$ 84,90"
A HISTÓRIA DA PRIMEIRA GUERRA MUNDIAL,História Mundial,"A OBRA DEFINITIVA sobre o conflito que marcou um século.No verão de 1914, a Europa explodiu em um frenesi de violência em massa. A guerra que se seguiu teve repercussões globais, destruindo quatro impérios e custando milhões de vidas. Mesmo os países vitoriosos foram marcados por uma geração, e ainda hoje permanecem dentro da sombra do conflito. Nesta nova e monumental análise, o renomado historiador David Stevenson reexamina as causas, a evolução e as repercussões desta “guerra para acabar com a guerra”, colocando-a no contexto de sua época e expondo suas dinâmicas subjacentes. Tecendo um histórico internacional amplo, com base nas mais recentes pesquisas, o autor oferece respostas convincentes para as perguntas fundamentais sobre como essa terrível luta se desenrolou – questões que permanecem perturbadoramente relevantes para o nosso próprio tempo.","R$ 179,90"
"MULHERES, MITOS E DEUSAS",História,"Algumas mulheres conheceram o céu, outras o inferno; umas foram enaltecidas, santificadas, outras demonizadas; mas todas tocaram as profundezas do próprio ser, chegaram ao limite de sua condição e de seu tempo e se eternizaram na história.

Ao tomar contato com a história e os dilemas vividos por figuras como Afrodite, Cinderela, Simone de Beauvoir e Virginia Woolf, a autora nos guia em uma viagem de resgate da essência perdida ao ressignificar o papel feminino no mundo.
O livro revela uma análise inteligente dos arquétipos, dos mitos e das lendas construídos em torno da mulher, demonstrando como eles acabaram por reafirmar o machismo na cultura ocidental.","R$ 84,90"
ROMA,História Mundial,"Cobrindo toda a vasta extensão do Império, esse livro combina três perspectivas. Primeiro, é uma história completa do Império Romano: como foi criado, como resistiu às crises e como moldou o mundo até o alvorecer da Idade Média. Depois explica o que as pesquisas arqueológicas revelaram sobre os segredos do domínio romano. Por fim, investiga grandes questões, como: Por que Roma resistiu durante tanto tempo? Por que teve um impacto tão profundo e serviu de modelo para outros imperialismos? Uma narrativa que instrui e aponta novos rumos sobre uma das civilizações mais complexas e estudadas da História.","R$ 74,00"
OS PERSAS,História,"A história oficial do Império Persa, a primeira superpotência do mundo
                    
                

Tudo o que sabemos do grande Império Persa veio por intermédio de escritores gregos, sobretudo Heródoto. Não havia ainda uma história dos persas baseada em fontes originais que buscasse reconstituir a glória de sua cultura, economia e organização.

Por isso, o renomado professor Lloyd Llewellyn-Jones lança um novo olhar sobre os reis Ciro, o Grande, Xerxes, Dario, seus herdeiros – os aquemênidas – e seu governo, cujo coração era a cidade de Persépolis. Ao detalhar as relações e intrigas familiares, assim como a realidade dos persas do século VI a IV a.C., o historiador evidencia por que essa foi a era dos grandes reis.","R$ 119,90"
SAPIENS (NOVA EDIÇÃO),História Mundial,"Na nova edição do livro que conquistou milhões de leitores ao redor do mundo, Yuval Noah Harari questiona tudo o que sabemos sobre a trajetória humana no planeta ao explorar quem somos, como chegamos até aqui e por quais caminhos ainda poderemos seguir. 
                
                 O planeta Terra tem cerca de 4,5 bilhões de anos. Numa fração ínfima desse tempo, uma espécie entre incontáveis outras o dominou: nós, humanos. Somos os animais mais evoluídos e mais destrutivos que jamais viveram. 
                    Sapiens é a obra-prima de Yuval Noah Harari e o consagrou como um dos pensadores mais brilhantes da atualidade. Num feito surpreendente, que já fez deste livro um clássico contemporâneo, o historiador israelense aplica uma fascinante narrativa histórica a todas as instâncias do percurso humano sobre a Terra. Da Idade da Pedra ao Vale do Silício, temos aqui uma visão ampla e crítica da jornada em que deixamos de ser meros símios para nos tornarmos os governantes do mundo. Harari se vale de uma abordagem multidisciplinar que preenche as lacunas entre história, biologia, filosofia e economia, e, com uma perspectiva macro e micro, analisa não apenas os grandes acontecimentos, mas também as mudanças mais sutis notadas pelos indivíduos.  “Interessante e provocador. Nos traz a sensação de quão breve é o tempo em que estamos nesta Terra.” — Barack Obama “Recomendo Sapiens  a qualquer pessoa que esteja interessada na história e no futuro de nossa espécie.” — Bill Gates “Uma incrível investigação para compreender o passado, situar o presente e pensar para onde iremos. Num momento de crise civilizatória, a obra de Harari é um convite à reflexão.” — Djamila Ribeiro “Sapiens  não só trata das questões mais importantes da história de nossa espécie como é escrito numa linguagem vívida e inesquecível.” — Jared Diamond “O livro de Yuval Noah Harari é muito bom. Fui surpreendido por pontos de vista que nunca tinha imaginado.” — Leandro Karnal “O modo como Harari narra a história de nós, humanos, e enxerga nosso futuro é arrebatador.” — Natalie Portman “Sapiens  é uma exploração fascinante sobre como aquilo que nos torna humanos é muito mais do que uma biologia notável: é o mundo mental que construímos em conjunto.” — Suzana Herculano-Houzel","R$ 98,89"
HISTÓRIA MEDIEVAL,História Mundial,"A Idade Média abrange um período de cerca de dez séculos, compreendido entre o final da Antiguidade e o início da época moderna. Diferentes formas de expansão, de poder e de sociedade foram forjadas durante esses mil anos. Enquanto os chamados bárbaros conquistavam territórios, o poder da Igreja crescia e o cristianismo se tornava uma ferramenta eficaz de integração (muitas vezes forçada). Outra característica marcante do período é a dominação senhorial: controle econômico, jurídico, político e militar dos camponeses por parte da aristocracia.Nesta obra introdutória, o professor da Universidade de São Paulo Marcelo Cândido da Silva se dedica a apresentar e discutir as principais características desse período, dando ênfase a seus contrastes: a fome, a peste e as guerras se alternando com tempos de paz e prosperidade; o universalismo do papado convivendo com os particularismos senhoriais e com as monarquias em vias de centralização. Com este livro, o leitor tem em mãos uma obra atualizada e palpitante sobre a História Medieval.","R$ 39,90"
SEGREDOS DO IMPÉRIO ROMANO,História,"Este livro traz a história completa da formação de um dos mais importantes impérios já constituídos.Conheça de perto a origem, a ascensão, a crise e a queda do Império Romano.Saiba ainda quem foram os imperadores e os seus feitos, e como eram a política, a economia, a cultura, a religião e as artes durante o Império Romano. Uma obra fundamental para leigos, estudantes e curiosos sobre o tema, que ajuda a entender em definitivo por que esse foi um importante período que moldou para sempre a história de toda a humanidade.","R$ 39,90"
PALESTINA,História,"Em março de 1899, Yusuf Diya al-Khalidi, deputado e ex-prefeito de Jerusalém, enviou uma carta alarmada a Theodor Herzl, considerado o pai do sionismo moderno. Na carta, argumentava que, quaisquer que fossem os méritos do movimento sionista, as “forças brutais das circunstâncias tinham que ser consideradas”, pois o povo palestino nunca aceitaria de bom grado ser suplantado. Ao alertar para os perigos futuros, ele concluía sua nota com um apelo sincero: “em nome de Deus, deixem a Palestina em paz”. Assim, Rashid Khalidi, o principal historiador americano sobre o Oriente Médio, inicia o seu relato sobre a guerra secular na Palestina. Com uma narrativa clara e equilibrada, Khalidi subverte as interpretações aceitas do conflito, que tendem, na melhor das hipóteses, a descrevê-lo como um confronto trágico entre dois povos que reivindicam o mesmo território. Para tanto, retraça os mais de cem anos da guerra, encampada primeiro pelo movimento sionista e depois por Israel, mas também com o apoio de grandes potências. Guiando os leitores pelos episódios-chave da campanha colonial, como a Declaração Balfour de 1917 e os confrontos de 1948 e 1967, o autor se vale de pesquisas de arquivo, material de familiares e das próprias experiências para revelar o pano de fundo histórico que enquadra os acontecimentos atuais, explicando dinâmicas subjacentes cruciais para uma compreensão adequada do presente.","R$ 114,90"
"HISTÓRIA DO MEDO NO OCIDENTE, 1300-1800",História,,"R$ 79,90"
V13,História,"Ao narrar o julgamento dos atentados terroristas de Paris de 2015, Carrère nos oferece uma experiência imersiva: as audiências, os encontros nos intervalos, a trajetória de vítimas e réus, numa coreografia judicial de tirar o fôlego. Este é um livro sobre o bem, o mal e suas imprecisas fronteiras; uma jornada filosófica pela complexidade humana.
                
                
                
                    Em 2015, extremistas do Estado Islâmico realizaram uma série de atos terroristas quase simultâneos em vários locais de Paris: a casa de shows Bataclan, os arredores do Stade de France e as esplanadas da região leste. Mais de 130 pessoas morreram, outras centenas ficaram feridas. V13 écomo magistrados, advogados e jornalistas passaram a chamar essa inesquecível sexta-feira (
                    vendredi
                    ) 13 de novembro.
                    
                    Sete anos depois, a França e o mundo reviveram essa dor com o início dos julgamentos. Durante meses, quase todos os dias, Emmanuel Carrère sentou-se em uma sala de audiência sem janelas para testemunhar o que aconteceria com os responsáveis pelos atentados. Este livro é um relato contundente e verdadeiro de tudo que Carrère viu e ouviu, com um virtuosismo nunca ostensivo, tomando o cuidado de registrar as variadas facetas desta tragédia coletiva e a batalha legal que a sucedeu.
                
                
                
                    “Um relato íntimo, composto de encontros e retratos sinceros, que oferece uma visão real da aventura humana que esse julgamento representou para a história.”
                     —L’Humanité
                
                
                
                    “A força de Carrère está em sua capacidade de se colocar no lugar do outro. Ele prova que podemos procurar entender sem tentar desculpar.”
                    —Le Figaro","R$ 89,90"
"ARMAS, GERMES E AÇO",História Mundial,"Vencedor do Prêmio Pulitzer de 1998, Armas, germes e aço apresenta uma narrativa inovadora e unificada da história humana. Um marco importante em nossa compreensão das sociedades, Jared Diamond narra a maneira como o mundo moderno e suas desigualdades surgiram. Esta e
                    dição comemorativa conta com nova capa arrojada e um posfácio inédito do autor.
                
 

                    Armas, germes e aço procura demonstrar, por meio de uma intrigante revisão da evolução dos povos, que o destino dos europeus, nativos americanos, africanos, asiáticos e australianos foi moldado por fatores geográficos e ambientais, e não por questões étnicas ou particularidades referentes à inteligência e aptidões de cada um dos grupos.
Através de uma viagem ao longo de treze mil anos de história dos continentes, Jared Diamond conclui que a dominação de uma população sobre outra tem fundamentos militares (armas), tecnológicos (aço) ou nas doenças (germes), que dizimaram sociedades de caçadores e coletores, assegurando conquistas, proporcionando a expansão dos domínios de determinados povos e, consequentemente, conferindo-lhes grande poder político e econômico.
De capa nova, esta edição traz um posfácio inédito do autor sobre a pobreza e a riqueza das nações.
“Um dos projetos mais significativos embarcados por qualquer intelectual de nossa geração” - Gregg Easterbrook, New York Times.
 ","R$ 109,89"
1177 A.C.,História,"Com esta obra, você fará uma viagem no tempo até o final do segundo milênio antes da era cristã: um período de grande prosperidade e desenvolvimento para as civilizações da Idade do Bronze, mas que chegou a um fim abrupto e desastroso em 1177 a.C., quando os misteriosos e temíveis “Povos do Mar” invadiram o Egito.

Embora o exército e a marinha egípcios tenham conseguido derrotá-los, a vitória foi apenas o começo do fim para o mundo civilizado da Idade do Bronze. Os reinos caíram como dominós, e em poucas décadas, não havia mais minoanos, micênicos, troianos, hititas ou babilônios. As culturas, economias e povos prósperos que antes existiam, desapareceram junto com seus sistemas de escrita, desenvolvimento e arquitetura monumental.

Mas como isso foi possível? Como uma única invasão destruiu toda uma era de progresso e desenvolvimento? Eric Cline conta a emocionante história das múltiplas falhas interconectadas que levaram ao colapso da Idade do Bronze, incluindo invasões, revoltas, terremotos, secas e bloqueios no comércio internacional.

Com uma narrativa envolvente, o autor traz à vida o vibrante mundo multicultural dessas grandes civilizações, revelando que foi a própria interdependência que levou ao seu dramático colapso. Em 1177 a.C, Cline descreve em detalhes os laços complexos que deram origem e, finalmente, destruíram as civilizações desenvolvidas da Idade do Bronze, preparando o terreno para o surgimento da Grécia clássica.

Com este livro fascinante, você mergulhará em uma era de grande prosperidade da história humana, mas também testemunhará o seu dramático fim. Prepare-se para uma narrativa cheia de reviravoltas sobre os surpreendentes eventos que culminaram com o fim da Idade do Bronze.","R$ 59,90"
OS BESTIALIZADOS,História do Brasil,"História social e literária, antropologia urbana, crítica cultural, análise política: o historiador atravessa todos esses campos para reconstruir de forma original, a partir do imaginário e do cotidiano político nacional, os impasses de uma República que nascia.
                
                1888: Abolição do trabalho escravo. 1889: Proclamação da República. Neste livro, José Murilo de Carvalho convida-nos a revisitar o Rio de Janeiro em suas primeiras encenações como Capital Federal. Cidade Maravilhosa, se acrescentarmos ao belo, o terrível; ao cômico, o trágico; à lógica, a loucura. Cidade mais que imperfeita, palco de políticas oficiais e invisíveis, de enredos conhecidos e mistérios insolúveis.História social e literária, antropologia urbana, crítica cultural, análise política: o autor atravessa com brilho todos esses campos para reconstruir de forma originalíssima os impasses de uma República nascente, que teimam em perturbar ainda o sono das elites brasileiras.Os Bestializados de ontem e de hoje são a face oculta de nosso modernismo: a cidade permaneceu alheia e atônita, buscando perdidamente seus cidadãos.
                    Francisco Foot Hardman","R$ 79,90"
NEXUS,História,"Do autor de 
                        Sapiens
                        , esta é a história fascinante de como as redes de informação definiram nosso mundo.
                    
                
                
                
                    Nos últimos 100 mil anos, nós acumulamos um imenso poder. No entanto, mesmo com todas as nossas descobertas e conquistas, estamos diante de uma crise sem precedentes, com um colapso ambiental iminente e desinformação correndo solta. A chegada da era da inteligência artificial também representa um perigo para nós. Afinal, por que somos tão autodestrutivos apesar de tudo o que conquistamos?
                    
                    Nexus
                     olha para a nossa história e avalia como o fluxo de informações moldou a nós e o mundo onde vivemos. Em uma narrativa que vai desde a Idade da Pedra e passa pela canonização da Bíblia, pelas primeiras caças às bruxas modernas, pelo stalinismo, pelo nazismo e pelo ressurgimento do populismo hoje, Yuval Noah Harari nos convida a examinar a complexa relação entre informação e verdade, burocracia e mitologia, sabedoria e poder. O autor explora como as várias sociedades e sistemas políticos utilizaram informações para atingir seus objetivos – para o bem e para o mal –, assim como as escolhas que precisamos fazer num momento em que a inteligência não humana ameaça a nossa própria existência.
                    
                    A informação não é a matéria-prima da verdade, tampouco uma mera arma. 
                    Nexus 
                    explora o meio-termo esperançoso entre esses extremos e redescobre a humanidade que nos une.","R$ 89,90"
AS VEIAS ABERTAS DA AMÉRICA LATINA,História Mundial,"Remontando a 1970, sua primeira edição, atualizada em 1977, quando a maioria dos países do continente padecia facinorosas ditaduras, este livro tornou-se um 'clássico libertário', um inventário da dependência e da vassalagem de que a América Latina tem sido vítima, desde que nela aportaram os europeus no final do século XV. No começo, espanhóis e portugueses. Depois vieram ingleses, holandeses, franceses, modernamente os norte-americanos, e o ancestral cenário permanece - a mesma submissão, a mesma miséria, a mesma espoliação.","R$ 44,90"
HISTÓRIA DA BRUXARIA,Bruxaria,"Da feitiçaria antiga aos recentes movimentos neopagãos, a história da bruxaria está nas entrelinhas da própria História. As bruxas são um estereótipo duradouro e mutável na mentalidade coletiva. Sua tradição, repleta de perseguições e reviravoltas, tem uma trajetória silenciosa, mas não por isso menos verdadeira e devastadora.

História da bruxaria é o mais abrangente estudo sobre o tema, e o discute de forma lúcida e estimulante, sob diferentes perspectivas. Os autores examinam a gênese, o auge e o declínio da caça às bruxas e revelam como a bruxaria sobreviveu, ressurgiu, se reciclou e atua na sociedade contemporânea.","R$ 79,90"
UMBANDAS: UMA HISTÓRIA DO BRASIL,História,,"R$ 59,90"
SPQR,História,"Cobrindo mil anos da história romana, SPQR revela em detalhes como Roma cresceu de uma vila insignificante na Itália Central para se tornar a primeira potência global.

A inglesa Mary Beard, professora de Cambridge e autora de vários best-sellers, vive há mais de trinta anos pesquisando o Império Romano. A partir de inúmeras leituras, estudos de arqueologia e de documentos escritos em pedras e papiros, ela faz uma análise eloquente dessa história e mostra o que os romanos pensavam sobre si mesmos e suas realizações. SPQR é a abreviação que os próprios romanos adotaram  para o seu Estado: “Senatus Populus Que Romanus”, ou “Senado e o Povo de Roma”.

Neste livro, Beard detalha como foi formada a identidade e a cidadania romana e mostra porque essa cultura ainda influencia o mundo no século XXI. Com mais de 100 ilustrações e inúmeros mapas, SPQR ficou mais de um ano em listas de best-sellers nos Estados Unidos e na Europa.","R$ 119,90"
SOBRE O AUTORITARISMO BRASILEIRO,História do Brasil,"Valendo-se de uma ampla reunião de dados estatísticos, Lilia M. Schwarcz examina algumas das raízes do autoritarismo brasileiro, bastante antigas e arraigadas, embora frequentemente mascaradas pela mitologia nacional. 
                
Os brasileiros gostam de se crer diversos do que são. Tolerantes, abertos, pacíficos e acolhedores são alguns dos adjetivos que habitam frequentemente a mitologia nacional. Neste livro urgente e necessário, Lilia M. Schwarcz reconstitui a construção dessa narrativa oficial que acabou por obscurecer uma realidade bem menos suave, marcada pela herança perversa da escravidão e pelas lógicas de dominação do sistema colonial. 
Ao investigar esses subterrâneos da história do país — e suas permanências no presente — a autora deixa expostas as raízes do autoritarismo no Brasil, e ajuda a entender por que fomos e continuamos a ser uma nação muito mais excludente que inclusiva, com um longo caminho pela frente na elaboração de uma agenda justa e igualitária.","R$ 79,90"
RAÍZES DO BRASIL,História do Brasil,"Nunca será demasiado reafirmar que Raízes do Brasil inscreve-se como uma das verdadeiras obras fundadoras da moderna historiografia e ciências sociais brasileiras. Tanto no método de análise quanto no estilo da escrita, tanto na sensibilidade para a escolha dos temas quanto na erudição exposta de forma concisa, revela-se o historiador da cultura e ensaísta crítico com talentos evidentes de grande escritor. A incapacidade secular de separarmos vida pública e vida privada, entre outros temas desta obra, ajuda a entender muito de seu atual interesse. E as novas gerações de historiadores continuam encontrando, nela, uma fonte inspiradora de inesgotável vitalidade. Todas essas qualidades reunidas fizeram deste livro, com razão, no dizer de Antonio Candido, ","R$ 76,89"
